Unnamed: 0,ID WMO,:  96745,Unnamed: 3,Unnamed: 4
,Nama Stasiun,:  Stasiun Meteorologi Kemayoran,,
,Lintang,:  -6.15559,,
,Bujur,:  106.84000,,
,Elevasi,:  4,,
,,,,
,,,,
,,,,
Tanggal,Tn,Tx,Tavg,ss
02-06-2023,26,34.4,29.9,6.5
03-06-2023,27,33.8,30.2,5.7
04-06-2023,27.8,32.8,29.5,6.2
05-06-2023,27.2,33.6,29.6,4
06-06-2023,26,31.6,27.8,4.4
07-06-2023,26,33.8,29.8,0
08-06-2023,27,33.6,29.9,4
09-06-2023,,34,29.2,3.5
10-06-2023,27.4,32.4,29.5,5.2
11-06-2023,26.6,33.4,29.1,4
12-06-2023,26.2,33.8,30.1,5.6
13-06-2023,26.8,34.4,30.1,3.4
14-06-2023,26,33.2,29.7,2.5
15-06-2023,27,33.4,29.5,2.4
16-06-2023,25.4,32.2,26.2,2
17-06-2023,24.6,32,27.9,0
18-06-2023,25.4,32,28.7,1.5
19-06-2023,26.2,31.2,27.4,2.3
20-06-2023,25.2,33.2,28.6,0.2
21-06-2023,25.8,33,29.5,3.3
22-06-2023,,33.6,29.2,3.9
23-06-2023,26.4,33.2,29.4,3.7
24-06-2023,26.8,32,28.6,3.6
25-06-2023,26,32,28.7,4.2
26-06-2023,25.2,31.8,28.5,2.6
27-06-2023,26.6,32.2,28.8,3.7
28-06-2023,26,33.6,29.1,4
29-06-2023,25.2,33,28.7,4.2
30-06-2023,,33.2,29.1,3.5
01-07-2023,25,32,29.2,4.8
,,,,
,,,,
,,,,
Keterangan :,,,,
8888: data tidak terukur,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,
Tn: Temperatur minimum	 (°C),,,,
Tx: Temperatur maksimum (°C),,,,
Tavg: Temperatur rata-rata (°C),,,,
ss: Lamanya penyinaran matahari (jam),,,,
